fileName,cameraAngle,medianLeafCount,maxLeafCount,leafAngle,stalkHeight,panicleExsertion
.,NaN,NaN,NaN,NaN,NaN,NaN
..,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-090-PI 658847_2018-02-05_12-52-11_6942100,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-091-PI 658848_2018-02-05_02-12-10_6945700,Vis_SV_0,8,8,35.0619158,480,119
1-26-18_Sorghum_seed_915-092-PI 658849_2018-01-26_11-17-44_6692900,Vis_SV_108,3,3,173.0012759,1,62
1-26-18_Sorghum_seed_915-093-PI 658850_2018-01-26_03-30-37_6703100,Vis_SV_144,6,7,54.9188615,403,24
1-26-18_Sorghum_seed_915-094-PI 658851_2018-02-05_01-04-23_6942800,NaN,0,0,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-095-PI 658852_2018-02-05_01-10-17_6943100,Vis_SV_108,12,15,54.80953735,627,NaN
1-26-18_Sorghum_seed_915-096-PI 658853_2018-02-05_02-09-40_6945600,Vis_SV_144,2,2,89.50245781,5,44
1-26-18_Sorghum_seed_915-097-PI 658854_2018-02-05_02-24-38_6946200,Vis_SV_108,10,10,46.89311745,625,8
1-26-18_Sorghum_seed_915-098-PI 658855_2018-02-09_01-56-36_7054000,NaN,17,20,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-099-PI 658856_2018-01-26_12-35-11_6696000,Vis_SV_72,4,5,74.57322885,199,26
1-26-18_Sorghum_seed_915-100-PI 658857_2018-01-29_03-08-24_6797500,Vis_SV_72,3,6,113.6033304,422,83
1-26-18_Sorghum_seed_915-101-PI 658858_2018-02-02_11-57-46_6836300,Vis_SV_72,4,5,108.2713994,621,NaN
1-26-18_Sorghum_seed_915-102-PI 658859_2018-02-05_02-22-02_6946100,Vis_SV_0,7,9,41.68676515,753,NaN
1-26-18_Sorghum_seed_915-104-PI 658861_2018-02-07_01-54-17_6993400,Vis_SV_0,1,1,9.475453422,664,14
1-26-18_Sorghum_seed_915-105-PI 658862_2018-01-26_02-22-54_6700500,Vis_SV_0,1,1,6.134835593,1152,NaN
1-26-18_Sorghum_seed_915-106-PI 658863_2018-01-26_12-07-45_6694900,Vis_SV_36,4,5,14.61727582,289,6
1-26-18_Sorghum_seed_915-107-PI 658864_2018-02-09_01-54-48_7053900,Vis_SV_0,12,13,42.41393794,940,38
1-26-18_Sorghum_seed_915-108-PI 658865_2018-01-26_02-28-47_6700800,Vis_SV_0,6,6,71.67389938,316,101
1-26-18_Sorghum_seed_915-109-PI 658866_2018-01-29_03-20-55_6799200,Vis_SV_144,5,7,45.52815462,304,NaN
1-26-18_Sorghum_seed_915-110-PI 658867_2018-01-26_12-25-08_6695600,Vis_SV_108,5,7,152.0281927,328,NaN
1-26-18_Sorghum_seed_915-111-PI 658868_2018-02-09_11-19-22_7048700,Vis_SV_0,2,5,50.99537344,750,106
1-26-18_Sorghum_seed_915-112-PI 658869_2018-02-05_01-35-53_6944300,Vis_SV_144,6,10,121.7437118,711,NaN
1-26-18_Sorghum_seed_915-113-PI 658870_2018-01-26_11-27-43_6693300,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-114-PI 658871_2018-02-07_02-31-04_6994900,Vis_SV_72,9,10,62.7203181,602,120
1-26-18_Sorghum_seed_915-115-PI 658872_2018-02-07_01-52-19_6993300,Vis_SV_144,7,9,40.21067084,658,NaN
1-26-18_Sorghum_seed_915-117-PI 658874_2018-02-07_02-06-04_6994000,Vis_SV_0,8,9,49.64464974,1366,NaN
1-26-18_Sorghum_seed_915-118-PI 658875_2018-01-26_11-15-15_6692800,Vis_SV_144,4,4,117.7415263,281,NaN
1-26-18_Sorghum_seed_915-118-PI 658875_2018-01-26_11-35-11_6693600,Vis_SV_0,2,3,29.4822054,268,NaN
1-26-18_Sorghum_seed_915-119-PI 658876_2018-01-29_02-48-07_6793900,Vis_SV_36,8,9,60.80190722,440,99
1-26-18_Sorghum_seed_915-120-PI 658877_2018-01-26_02-18-59_6700300,Vis_SV_72,6,7,84.28353368,330,98
1-26-18_Sorghum_seed_915-121-PI 658878_2018-02-07_02-08-01_6994100,Vis_SV_72,11,12,49.00322073,738,NaN
1-26-18_Sorghum_seed_915-122-PI 658879_2018-02-02_12-25-20_6837400,Vis_SV_72,3,4,47.01640649,645,NaN
1-26-18_Sorghum_seed_915-123-PI 658880_2018-02-09_11-20-08_7048800,Vis_SV_144,4,6,54.24118551,982,NaN
1-26-18_Sorghum_seed_915-124-PI 658881_2018-02-09_11-43-24_7049800,Vis_SV_0,10,10,70.81112744,1121,NaN
1-26-18_Sorghum_seed_915-125-PI 658882_2018-02-09_02-01-34_7054200,Vis_SV_36,6,7,69.53503237,667,389
1-26-18_Sorghum_seed_915-126-PI 658883_2018-02-02_02-22-06_6840500,Vis_SV_144,5,5,72.43174913,866,NaN
1-26-18_Sorghum_seed_915-127-PI 658884_2018-01-26_02-02-20_6699500,Vis_SV_72,3,7,37.34556546,294,91
1-26-18_Sorghum_seed_915-128-PI 658885_2018-02-07_04-06-23_6998600,Vis_SV_144,10,13,59.45591527,815,NaN
1-26-18_Sorghum_seed_915-129-PI 658886_2018-01-29_02-05-21_6790500,Vis_SV_0,5,7,130.2652398,336,82
1-26-18_Sorghum_seed_915-130-PI 658887_2018-02-07_02-20-59_6994400,Vis_SV_108,1,2,85.26250445,377,149
